edge_type_id target_query source_query delay syn_weight distance_range target_sections weight_function model_template dynamics_params weight_sigma
100 location=='L2'&ei=='2e1' location=='L2'&ei=='2e1' 1.6 0.00035 "[0.0, 1e+20]" "['basal', 'apical']" gaussianLL_Inter_Layer exp2syn ExcToExc.json 5.0
101 location=='L2'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2e1' 1.2 0.003 "[0.0, 1e+20]" "['somatic', 'basal']" gaussianLL_Inter_Layer exp2syn ExcToInh.json 15.0
102 location=='L2'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2e1' 1.5 0.001875 "[0.0, 1e+20]" "['somatic', 'basal']" gaussianLL_Inter_Layer exp2syn ExcToInh.json 10.0
103 location=='L2'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2e1' 1.5 0.0015 "[0.0, 1e+20]" "['somatic', 'basal']" gaussianLL_Inter_Layer exp2syn ExcToInh.json 5.0
104 location=='L2'&pop_name=='PV1'&ei=='2i1' location=='L2'&pop_name=='PV1'&ei=='2i1' 1.6 0.002424 "[0.0, 1e+20]" "['somatic', 'basal']" gaussianLL_Inter_Layer exp2syn InhToInh.json 15.0
105 location=='L2'&pop_name=='Scnn1a'&ei=='2e1' location=='L2'&pop_name=='PV1'&ei=='2i1' 0.9 0.0024 "[0.0, 1e+20]" "['somatic', 'basal', 'apical']" gaussianLL_Inter_Layer exp2syn InhToExc.json 15.0
106 location=='L2'&pop_name=='VIP'&ei=='2i1' location=='L2'&pop_name=='PV1'&ei=='2i1' 1.2 0.0005279999999999999 "[0.0, 1e+20]" "['somatic', 'basal']" gaussianLL_Inter_Layer exp2syn InhToInh.json 15.0
107 location=='L2'&pop_name=='VIP'&ei=='2i1' location=='L2'&pop_name=='Sst'&ei=='2i1' 1.5 0.0018479999999999998 "[0.0, 1e+20]" ['basal'] gaussianLL_Inter_Layer exp2syn InhToInh.json 15.0
108 location=='L2'&pop_name=='PV1'&ei=='2i1' location=='L2'&pop_name=='Sst'&ei=='2i1' 1.5 0.000792 "[0.0, 1e+20]" ['basal'] gaussianLL_Inter_Layer exp2syn InhToInh.json 15.0
109 location=='L2'&pop_name=='Scnn1a'&ei=='2e1' location=='L2'&pop_name=='Sst'&ei=='2i1' 1.5 0.0024 "[0.0, 1e+20]" "['basal', 'apical']" gaussianLL_Inter_Layer exp2syn InhToExc.json 15.0
110 location=='L2'&pop_name=='Scnn1a'&ei=='2e1' location=='L2'&pop_name=='VIP'&ei=='2i1' 1.5 4.7999999999999994e-05 "[0.0, 1e+20]" "['basal', 'apical']" gaussianLL_Inter_Layer exp2syn InhToExc.json 15.0
111 location=='L2'&pop_name=='Sst'&ei=='2i1' location=='L2'&pop_name=='VIP'&ei=='2i1' 1.5 0.047999999999999994 "[0.0, 1e+20]" ['basal'] gaussianLL_Inter_Layer exp2syn InhToInh.json 15.0
112 location=='L4'&ei=='2e1' location=='L4'&ei=='2e1' 1.3 0.00035 "[0.0, 1e+20]" "['basal', 'apical']" gaussianLL_Inter_Layer exp2syn ExcToExc.json 5.0
